Link to article	Type of article	Type of Event	Key persons/organizations mentioned	Key places mentioned in the document
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c77a7cc230d8759e613dbe3	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ad513230d8759e61be155	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c72481e230d8759e605f687	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c79e294230d8759e6197250	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d1d68230d8759e621b58d	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7703dd230d8759e6123dc8	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c766b70230d8759e610bd60	Political	Verbal Cooperation	Alejandro Ramírez Magaña (El presidente del Consejo Mexicano de Negocios), el presidente Enrique Peña Nieto, sector privado, Fideicomiso "Fuerza México", Juan Pablo Castañón (Consejo Coordinador Empresarial)	México, la residencia oficial de Los Pinos
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7727a9230d8759e61297a2	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7cd2fc230d8759e620fec1	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d7b37230d8759e6229f93	Political	Verbal Conflict	EFE, Alexis Tsipras (El primer ministro griego), el diario germano "Der Tagesspiegel", el sistema de pensiones griego, El Gobierno griego, Banco Central Europeo (BCE), Fondo Monetario Internacional (FMI), Comisión Europea (CE), PIB, Benjamin Disraeli	Grecia, Berlín, Alemania
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6eceed230d8759e6fce85b	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7a8671230d8759e61b155e	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7fe3e8230d8759e62898a3	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70193a230d8759e60044aa	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6fafd1230d8759e6ff31a2	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7bf330230d8759e61ecca1	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d5bed230d8759e622513e	Political	Verbal Conflict/Material Conflict	La ONU, El Consejo de Seguridad de la ONU, Elbio Rosselli (el embajador de Uruguay), Naciones Unidas	Corea del Norte, Pyongyang
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7a80d9230d8759e61b06c6	Political	Not Clear	Alicia Arango (exembajadora y exsecretaria de Álvaro Uribe), Caracol Radio, la bancada de parlamentarios del Centro Democrático en el Congreso de la República, Carlos Holmes Trujillo, María del Rosario Guerra, Nicolás Echavarría (Gerente de Campaña del partido), Óscar Iván Zuluaga (el candidato presidencial)	Centro Democrático, la sede de campaña de Óscar Iván Zuluaga
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7da6bf230d8759e6230c0e	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c80307e230d8759e6295836	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e687e230d8759e624f14f	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70a32b230d8759e601af26	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ff914230d8759e628cd8a	Political	Verbal Conflict/Material Conflict	La OTAN, EFE, El cuartel general militar aliado de la OTAN (SHAPE), DigitalGlobe, Estado Mayor General de Rusia, Alianza, el Consejo del Atlántico Norte, el cuartel general militar aliado en Mons	la frontera ucraniana, Rusia, Mons (sur de Bélgica), Ucrania
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c74ad04230d8759e60c4720	Political	Not Clear	Donald Trump ("El presidente estadounidense), las agencies federales 	la Casa Blanca, Estados Unidos
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b4bd7230d8759e61d1477	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7fc507230d8759e6284a33	Political	Material Conflict	ONG (a organización no gubernamental), Observatorio Sirio de Derechos Humanos, sirios, presidente Bachar al Asad, grupo chií libanés Hizbulá, Gobierno de Damasco	Siria, la provincia sureña de Deraa, Londres
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c75d815230d8759e60f4583	Political	Material Cooperation	los ministerios de Salud de Colombia y Brasil, el INS, Ministerio de Salud de Colombia, María Isabel Bermúdez (coordinadora de la Red Nacional de Bancos de Sangre, del Instituto Nacional de Salud (INS)), Carlos Vallejo (El director del Banco de Sangre del Hospital San Vicente Fundación), el médico especialista en hematología Carlos Vallejo (director del banco de Sangre del Hospital Universitario), la Organización Panamericana de la Salud (OPS), La red de bancos de sangre de Brasil, la oficina de Cooperación y Relaciones Internacionales del Ministerio de Salud de Colombia, Jaime Matute, Natalicia Silva, María Isabel Bermúdez, Martha Lucía Ospina (directora del INS)	COLOMBIA, el Hospital San Vicente Fundación de Medellín, Fortaleza, Brasil, el San Vicente de Paúl, Sao Paulo, Panamá, Bogotá
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d0c4d230d8759e62189d3	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6e65d6230d8759e6fbcfbb	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c777cbb230d8759e61370a8	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c732f90230d8759e60857fb	Political	Material Cooperation	El presidente Alvaro Uribe, el Ejército, la Policía Nacional, el general Jorge Daniel Castro (director de la Policia Nacional)	
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d781a230d8759e622977b	Political	Verbal Conflict/Verbal Cooperation	Gobierno griego, EFE, las instituciones, los acreedores, Alexis Tsipras (el primer ministro griego), fuentes gubernamentales que además publicaron la carta, los jefes de las tres instituciones (Comisión Europea, Banco Central Europeo, Fondo Monetario Internacional), IVA, el Eurogrupo, Mecanismo de Estabilidad Europeo (MEDE)	Atenas
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c710619230d8759e602b1d7	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e40ae230d8759e6248f43	Political	Verbal Conflict	La U, Uribe: Centro Democrático, El senador Juan Carlos Vélez, Jaime Buenahora (cónsul en Nueva York del Gobierno anterior), Santismo, Uribistas, Jaime Buenahora (copresidente de la colectividad)	
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ba2e7230d8759e61df3a2	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7466e5230d8759e60b93ec	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7868c3230d8759e615b820	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c71fbdc230d8759e60529eb	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b836f230d8759e61da436	Political	Material Conflict	Pandillas, John Lawrence Mahony (sacerdote y cónsul honorario de Gran Bretaña para el Caribe/director de la pastoral social, secretario de participación ciudadana y desarrollo social y un reconocido defensor de los derechos humanos en Cartagena), la pandilla ‘Los felipitos’, Adalquis Javier Mahony	Cartagena, La Candelaria, el Sena, el sector Simón Bolívar, en San Fernando
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7fa8bb230d8759e62804bb	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e6e05230d8759e624ff37	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7df0c2230d8759e623c6d8	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7291bf230d8759e606b4ba	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d726c230d8759e6228a52	Political	Not Clear	Las bolsas latinoamericanas, Wall Street, la Reserva Federal estadounidense (Fed), l Dow Jones deIndustriales, S&P, Nasdaq, la Fed, Microsoft, Visa, Boeing, Verizon, Home Depot, JPMorgan, Nike, Pfizer, Twitter, Facebook, Mark Zuckerberg	Bogotá, Estados Unidos,  Grecia, China,  Nueva York, Europa, Londres, París, Fráncfort, Madrid, Milán, América Latina, Perú, Sao Paulo
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c72b2e3230d8759e6070cf4	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e8a9b230d8759e62545b9	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7243e3230d8759e605eb87	Political	Not Clear	Samuel Moreno/Samuel Moreno Rojas, El general Gustavo Adolfo Ricaurte (director del Inpec), el Inpec	Bogotá, las escuelas del Ejército o la Policía ubicadas al norte de la ciudad
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f4ed4230d8759e6272bb9	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7631ed230d8759e6102b18	Political	Material Conflict/Material Cooperation	El comandante Carlos Tavares, Protección Civil	Góis, Portugal, el distrito de Coimbra, el término municipal de Pedrógão Grande, el distrito de Leiria
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c74d895230d8759e60cbaa2	Political	Verbal Conflict/Material Conflict	Alberto Nisman, El fiscal federal argentino Eduardo Taiano, EFE/Efe, César Milani (exjefe del Ejército), Sergio Berni (secretario de Seguridad), Viviana Fein (la exfiscal del caso), Julián Ercolini, Manuel Romero, Ministerio de Seguridad argentino, Alejandra Gils Carbó (el Ministerio Público Fiscal y la procuradora general de la Nación (que dirige la Fiscalía)), el máximo tribunal penal, la presidenta Cristina Fernández, terroristas iraníes, el expresidente Néstor Kirchner, la jueza María Servini de Cubría, Gobierno de Kirchner	Buenos Aires, una "zona liberada" alrededor del edificio Le Parc, el acomodado barrio de Puerto Madero, el país asiático
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d6ba5230d8759e6227899	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c742e95230d8759e60b018d	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7612c7230d8759e60fd914	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6db115230d8759e6f88337	Political	Not Clear	Caracol Radio, la jefe de salud pública de la Secretaría de Salud, la Unidad de Cuidados Intensivos, Luz Jenny Gutiérrez, el POS	Armenia, Saludcoop, Bogotá
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c71f859230d8759e605204b	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c78914a230d8759e6161d33	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6f84d0230d8759e6fec3a8	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7774f7230d8759e6135d51	Political	Material Conflict	las AUC, Las autoridades del departamento de Córdoba, desmovilizados de las autodefensas/ex paramilitares/los ex integrantes de los grupos paramilitares, Jairo Salazar Macea (secretario de gobierno de Montería), el gobierno, Jairo López Covo (El secretario de gobierno departamental de Córdoba), la Secretaría de Gobierno departamental	Córdoba, cambuches en la ciudad de Montería
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c72c52a230d8759e6073d8c	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c727651230d8759e6066d11	Political	Verbal Conflict	la fiscal Viviane Morales, El presidente Juan Manuel Santos, Caracol Radio, el exministro de Justicia Fernando Carrillo (la Agencia de Defensa Jurídica del Estado/coordinador del equipo de empalme del gobierno Santos), gobierno Santos, el magistrado Humberto Sierra Porto, Sierra Porto, gobierno colombiano, la Corte Interamericana Humanos, Consejo de Estado, alto Gobierno, ministros del Interior y Justicia, Juan Carlos Esguerra (el ministro de Justicia), el Ejecutivo	
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c77bae4230d8759e6140ad9	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c3776230d8759e61f7cd6	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c78e30e230d8759e616ec75	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c75795b230d8759e60e551e	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c720aef230d8759e60552cc	Political	Material Cooperation	Australia, El Gobierno de Australia, Tony Abbott (El primer ministro australiano), Estados Unidos, las milicias del Estado Islámico de Irak, el Levante, ABC, Barack Obama (el presidente estadounidense), Casa Blanca, los yihadistas, yazidíes kurdos y cristianos	Irak, Sídney, las montañas cercanas a la ciudad de Sinyar/el monte Sinyar (100 kilómetros al oeste de Mosul), el norte de Irak, Emiratos Árabes Unidos, Erbil (la capital del kurdistán)
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c73989c230d8759e60974d3	Political	Verbal Cooperation	Javier Solana (El Alto Representante de la Unión Europea (UE) para la Política Exterior y de Seguridad Común), Álvaro Uribe (el presidente colombiano), miembros de su gabinete, empresarios, los embajadores europeos acreditados, la Comisión Europea en Colombia, el vicepresidente Francisco Santos, el consejero presidencial de Acción Social Luis Alfonso Hoyos, Frank Pearl (el alto consejero para la Reintegración Económica y Social), la Cumbre de Jefes de Estado, Gobierno Unión Europea-América Latina y el Caribe, Acuerdo de Asociación Unión Europea-Comunidad Andina, la delegación europea en Colombia	Colombia, Bogotá, Lima (Perú), América Latina
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7d1445230d8759e6219d82	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c79f40d230d8759e619a008	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7cd0ac230d8759e620f8d4	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70ece0230d8759e6027060	Political	Verbal Conflict/Material Conflict	Consejo de Estado, la ONU, las Farc/las Frac/el grupo insurgente Farc, gobierno nacional/Gobierno Nacional, omité de Derechos Humanos de las Naciones Unidas, Estado colombiano, organismos de seguridad, la Policía, alto Tribunal	el municipio de Puerres, en el departamento de Nariño
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e6146230d8759e624df45	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c72c533230d8759e6073d9e	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7493eb230d8759e60c06b9	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c174a230d8759e61f2b62	Political	Material Conflict	la exsenadora Piedad Córdoba, Fiscalía, José Miguel Narváez (el exsubdirector del DAS/Exdirector del DAS)	Centro de Ortopedia
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7dff9d230d8759e623ec53	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c244b230d8759e61f4c93	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c738f76230d8759e6095cd7	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6ffc19230d8759e6fff826	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c724620230d8759e605f159	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c749e45230d8759e60c20af	Political	Verbal Conflict	Jorge Robledo, ex fiscal Luis Gustavo Moreno, la Corte, la Fiscalía	Estados Unidos, Colombia
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e9e15230d8759e6257652	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7542f1230d8759e60dca9c	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6ec667230d8759e6fcd1e6	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7342c1230d8759e6088a6d	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7f892b230d8759e627b8b7	Political	Material Conflict	El ruso Mijaíl Lesin (un exministro y exasesor del presidente Vladímir Putin/ministro de Información y Prensa de Rusia/asesor de Putin), presidente Vladímir Putin, la Policía Metropolitana de Washington, la Oficina del Forense, Russia Today (RT), Kremlin	un hotel de Washington/hotel Dupont Circle (EE.UU.), Washington, Rusia
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ac36b230d8759e61bb462	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e8fd1230d8759e625529b	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c74e80a230d8759e60ce34d	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7cc120230d8759e620d252	Political	Verbal Conflict	Supremo de EE.UU./Tribunal Supremo de EE.UU./la Corte Suprema/el Supremo/la Corte Suprema federal, El Departamento de Justicia de Puerto Rico, César Miranda (El secretario del Departamento de Justicia de Puerto Rico), Margarita Mercado Echegaray (la procuradora general), P.Rico/Puerto Rico/la incipiente Puerto Rico, Sánchez Valle, Tribunal Supremo de Puerto Rico, la Fiscalía federal, las autoridades federales, Estados Unidos, el Congreso estadounidense, los fiscales de Puerto Rico, el Gobierno federal, Departamento de Justicia, ELA (Estado Libre Asociado), las puertorriqueñas	los tribunales locales, Washington, Puerto Rico
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7b817e230d8759e61d9f37	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7e6347230d8759e624e466	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6e8795230d8759e6fc2874	Political	Material Conflict	las Farc, Tropas del Ejército, la IV Brigada del Ejército, la vereda Llanadas del municipio de Campamento	Antioquia/el norte de Antioquia, los municipios de Campamento y Yarumal, a vereda El Cedro del municipio de Yarumal
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7c583f230d8759e61fd0a4	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c74e411230d8759e60cd8a6	Political	Material Cooperation	La Organización de las Naciones Unidas para la Alimentación y la Agricultura (la FAO),  Kundhavi Kadiresan (asistente del director general de la FAO)	Asia, el Pacífico, Bangkok, el Sur de Asia
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7592df230d8759e60e97d4	Political	Verbal Cooperation	la Unión Europea (UE), niños refugiados, La Comisión Europea (CE), El Ejecutivo comunitario, refugiados, los niños inmigrantes, refugiados o desplazados, la Comisión, víctimas de explotación sexual o no sexual, países terceros, organizaciones internacionales, Federica Mogherini (la jefa de la diplomacia europea), los comisarios de Cooperación Internacional y Desarrollo: Neven Nimica, Christos Stylianides (Ayuda Humanitaria y Gestión de Crisis), Vera Jourová (Justicia, Consumidores e Igualdad de Género)	
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c6e7dd5230d8759e6fc0ebf	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c797fad230d8759e618730b	Political	Verbal Conflict	Venezolanos, El partido opositor venezolano Primero Justicia (PJ), la Fiscalía, la Policía, entidades financieras de Venezuela, Julio Montoya (el diputado de PJ), el parlamentario Alfonso Marquina, parlamentarios españoles, las autoridades andorranas, banqueros en Venezuela, la oficina de la Unidad Nacional de Inteligencia Financiera, El parlamento de Venezuela, Gobierno de Hugo Chávez, Luisa Ortega (la fiscal general de Venezuela), la Cancillería, La Banca Privada de Andorra (BPA), Diego Salazar (primo del expresidente de la estatal Petróleos de Venezuela (PDVSA) Rafael Ramírez)	Andorra, Caracas, la Banca Privada de Andorra, Madrid, Parlamento en Panamá, Panamá
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c70c898230d8759e602113f	Non-Political			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c76e96b230d8759e611f9ee	Political	Not Clear	Jonathan Vega, Natalia Ponce, la justicia, la defensa de Ponce, el juez del proceso	la cárcel La Picota
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ed861230d8759e6260536	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7ba6ff230d8759e61dfdf4	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c7275a1230d8759e6066b3b	Irrelevant			
http://eventdata.utdallas.edu/api/text_es?api_key=CD75737EF4CAC292EE17B85AAE4B6&doc_id=5c781cbe230d8759e614fa71	Non-Political			
